Date,ret_1d,ret_mean_3d,ret_mean_5d,ret_mean_10d,ret_mean_21d,ret_vol_10d,log_vol_chg_1d,target_next_log_ret
2018-02-01,-0.011010944092544217,-0.0272028746353636,-0.0006190770274038914,0.004901153361677036,0.0024447560297797028,0.03893818963158504,-0.7523509150978445,-0.09177346508871831
2018-02-02,-0.09177346508871831,-0.059828605883444484,-0.02929863306342053,-0.010146947539343554,-0.002036282451045141,0.04451222589387871,0.30974296606441065,-0.06518597928502101
2018-02-05,-0.06518597928502101,-0.05599012948876118,-0.047713613655966026,-0.019049193171834733,-0.005471446099764655,0.04584268557021486,0.21214196712863043,0.012870239649365178
2018-02-06,0.012870239649365178,-0.04802973490812471,-0.04636031145719786,-0.01581615855191698,-0.0049684279677121935,0.04693745554327624,-0.33228627897069174,0.012706638950606086
2018-02-07,0.012706638950606086,-0.01320303356168325,-0.028478701973262455,-0.014107857607848528,-0.004582288242097584,0.04770467121456579,-0.5590810444510073,-0.06252035892348595
2018-02-08,-0.06252035892348595,-0.012314493441171562,-0.0387805849394508,-0.019699830983427348,-0.0063426336647784964,0.04995145530479537,0.1534970656146193,0.013351320424662139
2018-02-09,0.013351320424662139,-0.012154133182739243,-0.01775562783677471,-0.023527130450097623,-0.005818772267084234,0.045111089505832556,0.1552708999148713,-0.0026560415352039346
2018-02-12,-0.0026560415352039346,-0.01727502667800925,-0.005249640286811297,-0.02648162697138866,-0.0068312108764465584,0.04232365625531378,-0.5373838432035942,-0.021506184544051843
2018-02-13,-0.021506184544051843,-0.0036036352181978795,-0.012124925125494701,-0.02924261829134628,-0.007414395082622728,0.04083618466873084,0.14224689494768938,0.04775438597810833
2018-02-14,0.04775438597810833,0.007864053299617516,-0.005115375719994253,-0.016797038846628354,-0.005140376702712808,0.04363436875379245,0.1378285834506201,0.010309421289296239
2018-02-15,0.010309421289296239,0.012185874241117575,0.009450580322562185,-0.014665002308444308,-0.0049805212764648344,0.04446152983756877,-0.1614508262081742,-0.020726172446011715
2018-02-16,-0.020726172446011715,0.012445878273797617,0.0026350817484274147,-0.007560273044173648,-0.005636412472080211,0.03555543354536057,0.09891135881644253,-0.013175408742137074
2018-02-20,-0.013175408742137074,-0.007864053299617516,0.0005312083070407869,-0.002359215989885255,-0.0090594102179671,0.029473146866102144,-0.2285713305607313,-0.03784231659745663
2018-02-21,-0.03784231659745663,-0.023914632595201806,-0.00273601810364017,-0.007430471614567435,-0.011996495629269358,0.03089037111619784,0.5333442733735492,0.010959003051837057
2018-02-22,0.010959003051837057,-0.013352907429252214,-0.010095094688894423,-0.007605235204444338,-0.010547966600619386,0.03076848926117742,0.059274379845032144,0.008141149682649784
2018-02-23,0.008141149682649784,-0.006247387954323262,-0.010528749010223715,-0.0005390843438307646,-0.009951894211441851,0.024159820471238033,-0.6043115847419855,0.0213911695249831
2018-02-26,0.0213911695249831,0.013497107419823315,-0.0021052806160247518,0.0002649005662013315,-0.008618951607028478,0.024798747951334903,-0.009399827502839742,-0.016000326086675454
2018-02-27,-0.016000326086675454,0.004510664373652477,-0.0026702640849324277,-0.0010695278889458204,-0.011839172615506589,0.025326796967891453,-0.1905583000125297,-0.027249681751811194
2018-02-28,-0.027249681751811194,-0.007286279437834516,-0.0005517371158033413,-0.0016438776097217555,-0.01441720144548362,0.025900374400773574,0.6014055524369226,-0.0027662509387049727
2018-03-01,-0.0027662509387049727,-0.01533875292573054,-0.0032967879139117473,-0.006695941301403085,-0.014839581426161205,0.019273765554507414,-0.05139688668602638,0.012114726676106247
2018-03-02,0.012114726676106247,-0.005967068671469973,-0.002502072515220455,-0.006515410762722084,-0.010610241657343245,0.019458318152787864,-0.2896303494719099,0.033901532101085374
2018-03-05,0.033901532101085374,0.01441666927949555,0.0,-0.0010526403080123759,-0.008471552314789455,0.02246182000255484,-0.04214395499101542,0.02353047540774078
2018-03-06,0.02353047540774078,0.0231822447283108,0.007906160298883247,0.0026179481069754096,-0.0029808884816247363,0.023246113393446677,0.20737686313610126,0.01283719579471887
2018-03-07,0.01283719579471887,0.023423067767848343,0.01592353580818926,0.007685899346192959,0.0007345008078866865,0.01848120605981686,-0.23208916095959609,-0.01283719579471887
2018-03-08,-0.01283719579471887,0.00784349180258026,0.01390934683698648,0.005306279461537366,-0.0004896627846887444,0.019515956762406948,-0.01956052585449264,0.02046111351446389
2018-03-09,0.02046111351446389,0.006820371171487964,0.015578624204658009,0.006538275844718777,-0.00012040209117170604,0.020095072558793853,0.27858734254589734,-0.012739013396069199
2018-03-12,-0.012739013396069199,-0.0017050318921080592,0.006250515105227094,0.003125257552613547,0.0022501381720386156,0.020190278082565776,0.267017362705829,0.0025608183600689394
2018-03-13,0.0025608183600689394,0.0034276394928212106,0.0020565836956927264,0.004981371997287987,0.0017363047403913204,0.019058112869161734,-0.6714448033970282,0.002554277316255238
2018-03-14,0.002554277316255238,-0.0025413059065816737,0.0,0.00796176790409463,0.0019844151618893763,0.01544570188471592,-0.22829056415866944,0.002547769602622929
2018-03-15,0.002547769602622929,0.002554288426315702,0.00307699307946836,0.00849316995822742,0.00312984154982627,0.015123655011967774,0.4395403915424474,0.0025412949650663874
2018-03-16,0.0025412949650663874,0.0025477806279815183,-0.000506970630411141,0.007535826787123434,0.0009768372158718921,0.015171861936895513,0.6354700368554624,-0.05209512385642956
2018-03-19,-0.05209512385642956,-0.01566868642958008,-0.008378192722483213,-0.0010638388086280592,-0.0019948077910674315,0.02158401138202284,-0.19469938132705877,0.0
2018-03-20,0.0,-0.016517942963787724,-0.008890356394497001,-0.0034168863494021375,-0.0010078471984002072,0.019815002901840302,-0.7266072446948915,-0.021622443112089607
2018-03-21,-0.021622443112089607,-0.024572522322839723,-0.01372570048016597,-0.006862850240082985,-0.0014100869303027088,0.019670083034712314,0.5038283537441153,-0.033336454494580336
2018-03-22,-0.033336454494580336,-0.018319632535556647,-0.020902545299606622,-0.008912776110069132,-0.0011955220682609807,0.021357659193484906,-0.23757779064840712,-0.025752471505066765
